name,index,organs
ПНЖК,,"мозг, кожа, сердце, сосуды, печень"
Витамин А,,"глаза, зубы, кости, кожа, желудок, печень"
Витамин D,,"мозг, зубы, кости, кожа, желудок, кишечник"
Витамин Е,,"мозг, кожа, мышцы"
Витамин С,,"сосуды, печень, сердце"
Витамин B,1,"мозг, мышцы, сердце, желудок, печень"
Витамин B,2,"глаза, волосы, кожа, печень"
Витамин B,3,"сосуды, желудок, поджелудочная железа, печень, сердце"
Витамин B,6,"мозг, кожа, сердце, сосуды, печень"
Витамин B,9,"мозг, волосы, кожа, печень"
Витамин B,12,"мозг, глаза, желудок, печень, яичники"
Витамин B,7,"волосы, кожа, мышцы, желудок, поджелудочная железа"
Витамин B,5,"мозг, кожа, щитовидная железа, печень, кишечник"
Кальций,,"мозг, зубы, кости, мышцы, сердце, желудок"
Фосфор,,"мозг, зубы, кости"
Магний,,"мозг, сердце, сосуды"
Калий,,"почки, кишечник, сердце"
Железо,,"кости, легкие"
Цинк,,"волосы, кожа, щитовидная железа, поджелудочная железа, яичники"
Йод,,"мозг, щитовидная железа"
Селен,,"щитовидная железа, сердце, сосуды, печень"
Медь,,"кожа, легкие, сердце, сосуды"
Кремний ,,"зубы, кости, мышцы, сосуды"
